planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,323.21,1.178,0.238,12.2,4914.898486,,G8 III,4874,13.76,2.09,-0.26,2.45,185.1787793,17.7932516,93.1846,4.72307,0,
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,0.08,12.3,4684.8142,,K4 III,4213,29.79,2.78,-0.02,1.93,229.2745954,71.8239428,125.321,5.013,0,
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,186.76,0.775,0,13.1,1131.151301,,K0 III,4888,11.55,1.78,-0.21,2.55,352.82415,39.2358367,75.4392,5.23133,0,
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1765.0389,2.774,0.373,12.6,2559.472162,,K0V,5338,0.93,0.91,0.4052,4.45,242.6021014,43.8163621,17.9323,6.61935,0,
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,0.68,13.5,565.7374,,G3 V,5750,1.13,1.08,0.06,4.36,295.4656422,50.5168243,21.1397,6.215,0,
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,0.06,12.9,1373.018718,,K3 III,4157,25.92,1.22,-0.01,1.7,243.4620874,-11.8377905,124.953,5.22606,0,
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,982.85,2.476,0.024,12.5,2926.246143,,G6 III,4980,8.8,2.1,-0.06,2.87,314.6078375,10.8391378,76.222,5.51048,0,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,,18.647,3000,1700,K7 V,4060,1.31316,0.85,,3.99592,242.3762343,-21.0831403,139.135,12.618,0,
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.33,0.194,0.032,13.9,280.6424834,,G3 IV,4816,12.19,1.05,-0.78,2.28,217.1555242,49.8446488,95.9863,5.59,0,
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,0.09,13.4,632.46,,K0 IV,5098,4.9,1.54,-0.03,3.5,155.8684866,-0.9023998,72.0691,6.4535,0,
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,883,2.08,0.29,13.9,273.32,,K0 IV,5098,4.9,1.54,-0.03,3.5,155.8684866,-0.9023998,72.0691,6.4535,0,
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,,118,,13,1271.313628,1450,M V,3100,0.84,0.17,0.01,4.5,69.3405531,26.8502997,128.484,16.186,0,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,,84,,12.3,4131.79,,M5.5/M6,,,0.19,,,15.8992489,-55.2658291,47.2,15.788,0,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,,52,,11.209,7786.5,1600,M3.5 V,3530,0.36645,0.4,,4.85804,20.7128012,-24.6646128,33.8281,14.244,0,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,,156,,16.14096,4417.837,,M6,3064,0.281,0.108,,4.59,34.8427046,-39.4230767,40.08964117,,0,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,Mauna Kea Observatory,,1950,,12.4,3686.809521,,M6 V,2859,0.315959,0.046,,4.90849,42.4851627,-5.9599921,66.0613,18.3,0,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,572,,12.2,5720.911326,2369,,2943,0.289776,0.264996,,4.93718,59.7911026,20.1599759,117.435,,0,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,,15,,12.6,2383.6,,M8.5,2936,0.231916,0.019,,5.01181,70.4371079,23.0308544,120.423987,,0,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,266,,11.9,8899.195396,2677,,,,,,,165.3295388,-77.5440912,,,0,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,587,,12.1,6356.56814,2506,,3021,0.600455,0.58846,,4.65082,178.7691634,-79.3197558,100.862,16.957,0,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,,55,,12.9,1589.15,1250,M8,2825,0.21887,0.024,,5.03186,181.8890906,-39.5484399,64.308,20.15,0,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,406,0.92,0.33,13.4,603.877,,,29564,0.203,0.48,-0.092,5.508,294.6359173,46.0664076,396.332,12.651,0,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,,7493,,12.4,3813.940884,1616,,3592,0.672832,0.643977,,4.59112,321.3662989,-81.6414894,34.1154,11.804,0,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,,230,,12.3,3972.875,,K7 V,4045,0.641152,0.6,,4.62349,339.1025931,47.861683,69.5737,12.368,0,
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,0.99,0.29,12.3,4392.4106,,F6 V,6331,1.41,1.93,0.19,4.43,39.2412736,24.6480103,44.657,7.09209,0,
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,270.27,0.877,0.453,12.6,2511.480072,,K1 III,4415,18.11,1.234,-0.25,1.8,130.0528099,64.3280504,73.4603,4.5801,0,
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,0.032,13.2,804.08,,G0V,5872,1.21334,1.06,0.04,4.29541,164.8647611,40.4304931,13.7967,5.03352,0,
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,0.098,14.2,171.621,,G0V,5872,1.21334,1.06,0.04,4.29541,164.8647611,40.4304931,13.7967,5.03352,0,
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002,11.6,0.16,13.5,521.22,,G0V,5872,1.21334,1.06,0.04,4.29541,164.8647611,40.4304931,13.7967,5.03352,0,
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,9100,10.4,0.57,,3464.329636,700,F0 IV,7295,1.48726,1.75,-0.027,4.31078,69.4007424,-2.4738245,29.7575,5.21149,0,
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,0.013,14.3,146.2018,,G5V,5758,1.17561,1.03,0.18,4.31038,344.3675399,20.7690958,15.4614,5.45309,0,
55 Cnc B b,55 Cnc B,2,7,Radial Velocity,2025,Mauna Kea Observatory,6.7994,0.044,0,1.69,3.5,,M4.5 V,3286,0.274,0.26,0.16,4.86,133.167908,28.3152863,12.4773,13.152,0,
55 Cnc B c,55 Cnc B,2,7,Radial Velocity,2025,Mauna Kea Observatory,33.747,0.13,0,2.16,5.3,,M4.5 V,3286,0.274,0.26,0.16,4.86,133.167908,28.3152863,12.4773,13.152,0,
55 Cnc b,55 Cnc,2,7,Radial Velocity,1996,Lick Observatory,14.651552,0.118,0.0029,13.9,263.9785,700,G8 V,5198,0.98,1.015,0.39,4.3,133.1468373,28.3298154,12.5855,5.95084,0,
55 Cnc c,55 Cnc,2,7,Radial Velocity,2004,McDonald Observatory,44.3936,0.247,0.088,8.51,54.4738,,G8 V,5198,0.98,1.015,0.39,4.3,133.1468373,28.3298154,12.5855,5.95084,0,
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,Lick Observatory,4799,5.6,0.0913,13,1232.493,,G8 V,5198,0.98,1.015,0.39,4.3,133.1468373,28.3298154,12.5855,5.95084,0,
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,0.05,1.875,7.99,1958,G8 V,5172,0.943,0.905,0.35,4.43,133.1468373,28.3298154,12.5855,5.95084,0,2657.8322
55 Cnc f,55 Cnc,2,7,Radial Velocity,2007,Multiple Observatories,260.58,0.802,0.063,7.59,44.812,,G8 V,5198,0.98,1.015,0.39,4.3,133.1468373,28.3298154,12.5855,5.95084,0,
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,2.028,0.042,13.4,597.8352336,,K0 IV,4941,4.94,1.32,-0.17,3.16,97.6960311,58.1611753,54.6599,5.87307,0,
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,0.12,2.11,5.1,,G5 V,5577,0.963,0.942,-0.01,4.34,199.596455,-18.3157745,8.50332,4.6955,0,
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,0.14,4.46,18.2,,G5 V,5577,0.963,0.942,-0.01,4.34,199.596455,-18.3157745,8.50332,4.6955,0,
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,0.35,5.11,22.9,,G5 V,5577,0.963,0.942,-0.01,4.34,199.596455,-18.3157745,8.50332,4.6955,0,
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,0.06,13.4,587.9855,,K1III(+M),4826,4.87,1.34,0.21,3.19,99.171276,-19.2561808,19.8101,3.95,0,
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,996,2.153,0.08,13.9,276.5121,,K1III(+M),4826,4.87,1.34,0.21,3.19,99.171276,-19.2561808,19.8101,3.95,0,
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,0.3988,12.6,2380.45,,G5V,5495,1.89,1.09,-0.09,3.95,202.1064898,13.7763085,17.9011,4.96808,0,
75 Cet b,75 Cet,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,1.912,0.093,13.3,787.896621,,G3 III,4809,10.38,1.92,0.1,2.69,38.0391598,-1.0350269,82.9613,5.3532,0,
75 Cet c,75 Cet,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,3.929,0.023,13.9,289.8595072,,G3 III,4809,10.38,1.92,0.1,2.69,38.0391598,-1.0350269,82.9613,5.3532,0,
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,0.06,13.6,416.3573,,K0,4847,10.3,1.44,-0.03,2.57,224.201685,74.9009379,162.552,6.83295,0,
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,2.104,0.037,13.1,1051.058542,,G5 III,4734,11.21,1.23,-0.11,2.41,39.4243555,-3.3963607,101.26,5.64307,0,
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,0.027,13.1,1017,,K0 III,4665,11,1.4,-0.03,2.52,348.9745031,-9.0878076,44.0304,4.23946,0,
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,,93.9,0.4,12.5,2860.455663,,,9770,2.95887,2.4,,3.77411,73.9410446,30.5510888,162.127,7.076,0,
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,,260,,12.3,4290.5,,K2 V,5285,0.999394,0.9,0.04,4.53,94.8039208,-58.0541184,50.0475,9.13,0,
AF Lep b,AF Lep,1,1,Imaging,2023,Paranal Observatory,8030,8.4,0.24,13.1,1017.050902,1400,F8 V,6130,1.25,1.2,0.19,4.4,81.7699216,-11.9011752,26.8564,6.332,0,
AT2021ueyL b,AT2021ueyL,1,1,Microlensing,2025,Multiple Observatories,4168.69,4.01,,13.6,425.8900654,,M V,3680,,0.49,,,324.5450417,26.4665694,1040,,0,
AU Mic b,AU Mic,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46308,0.0649,0.00577,3.95677019,20.12,600,M1,3678,0.744,0.51,0.23,4.404,311.2911369,-31.34245,9.7221,8.81,0,21.2
AU Mic c,AU Mic,1,4,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85969,0.1108,0.00338,2.52202066,9.6,459,M1,3678,0.744,0.51,0.23,4.404,311.2911369,-31.34245,9.7221,8.81,0,7.3
AU Mic d,AU Mic,1,4,Transit Timing Variations,2023,Multiple Observatories,12.73596,,0.00305,1.02,1.053,,M1,3678,0.744,0.51,0.23,4.404,311.2911369,-31.34245,9.7221,8.81,0,
AU Mic e,AU Mic,1,4,Radial Velocity,2025,Mauna Kea Observatory,33.11,,,4.87,21.1,,M1,3665,0.82,0.6,0.12,4.52,311.2911369,-31.34245,9.7221,8.81,0,
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,481.9,1.3,0.2,12.7,2034.112,,,4095,32.35,1.14,-0.71,1.89,177.5647268,2.7601075,1070.63,9.577,0,
BD+05 4868 A b,BD+05 4868 A,2,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),1.271869,0.0208,,,6.2,1820,K V,4596,0.69,0.7,-0.05,4.6,326.8614036,6.6053185,43.5687,10.158,0,
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,268.94,0.78,0.29,13.8,330.5432,,K2 V,4864,0.86,0.49,0.17,4.26,318.4010002,14.6893834,49.352,9.78,0,
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.576,0.001,13.8,337.21763,,G5,4649,8.95,1.08,-0.22,2.61,176.4820239,14.6163182,768.045,10.41,0,
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,137.48,0.539,0.26,13.7,352.78,,K0,4796,14.7,1.1,0.28,2.8,240.09564,15.5467507,426.42,9.01,0,
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,379.63,1.45,0.15,12.1,6807.63,,K2 II,4137,49,2.8,-1,1.51,154.186782,19.8912626,1539.71,9.743,0,
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,621.99,2.01,0.18,12.4,3963.17,,K2 II,4137,49,2.8,-1,1.51,154.186782,19.8912626,1539.71,9.743,0,
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,578.2,1.3,0.21,13,1334.886,,K5 III,4296,17.3,0.8,-0.46,1.99,25.9203179,21.0052692,1322.51,9.367,0,
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,41.6855,0.241,0,2.57807,22.2481,546,G,5766,1.08,1.67,-0.15,4.5,53.6511231,20.5990205,179.461,10.849,0,
BD+37 3172 b,BD+37 3172,1,1,Radial Velocity,2023,McDonald Observatory,1887.76,4.65,0.59,12.4,3368.981114,,,4500,50.24,3.75,-0.03,1.5,278.8155071,38.1153886,454.251,9.162,0,
BD+42 2315 b,BD+42 2315,1,1,Radial Velocity,2023,McDonald Observatory,123.05,0.54,0.73,14.2,174.8056239,,,4500,17.85,1.38,-0.2,2,187.5887597,41.2695674,610.715,9.723,0,
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,0.83,0.12,13.6,432.2466335,,K1,5004,0.813064,0.81,-0.09,4.22,32.9470485,45.9242187,53.622,9.67,0,
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,392.6,1,0.2,13.9,289.2253,,K0 III,4414,11,0.74,-0.2,2.24,40.7102869,49.5869395,871.493,9.139,0,
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,733,1.7,0.76,13.5,540.311,,K3 III,4534,10.33,1.09,-0.13,2.48,40.7425426,48.9300579,666.589,8.69,0,
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,2590,4.2,0.35,13.5,508.5,,K0,4943,7.6,1.52,-0.19,2.85,45.6406187,49.7299481,442.042,9.381,0,
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,0.78,0.27,14,228.836453,,K3,5012,0.896193,0.909,0.18,4.09,23.9636676,56.6982282,52.5697,9.38,0,
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,1662,,14.68376472,4767.426105,1303,K0,4993,0.797,1,,4.5539,190.8875453,60.0143636,44.9543,9.374,0,
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,1198.48,2.06,0.88,12.4,3305.415433,,K0,5000,0.804724,0.816,-0.09,4.2,271.3979337,63.6700064,38.0473,8.96,0,
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,3.8728,0.0428,0,2.85,8.5,,K7/M0 V,4324,0.686355,0.7,-0.14,4.74,88.2511811,-5.9963378,20.2695,9.7,1,
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,125.94,0.435,0.31,8.38,53,,K7/M0 V,4324,0.686355,0.7,-0.14,4.74,88.2511811,-5.9963378,20.2695,9.7,0,
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,5.6,0.06,0.15,3.61,12.7132,,K3 V,4816,0.71,0.5,-0.06,4.43,150.1971964,-9.5165689,41.3342,9.86,0,
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,237.6,0.68,0.19,12.5,104,,K3 V,4746,0.71,0.74,-0.07,4.13,150.1971964,-9.5165689,41.3342,9.86,0,
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.04,0.02,14.1,187.5197,,K0 V,5393,0.91,1.47,0.38,4.69,164.6191243,-10.7704227,84.4069,10.013,0,
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,1634,2.36,0.05,14.1,206.5895,,K7V,4550,0.639,0.651,-0.35,4.642,278.3688659,-11.6370481,27.1665,10.03,0,
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.3,0.4,4.04,15.37,,K7V,4550,0.639,0.651,-0.35,4.642,278.3688659,-11.6370481,27.1665,10.03,0,
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,714.29999,1.66,0.21,12.5,3108.3774,,G5 IV/V,4545,19.17,2.12,-0.08,2.2,114.2884692,-13.9066703,925.214,10.038,0,
BD-14 3065 b,BD-14 3065 A,3,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),4.2889731,0.0656,0.066,21.59,3932,2001,,6935,2.35,1.41,-0.34,3.85,153.6696689,-15.6428372,589.423,11.1,0,646.761
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,655.57,1.34,0.5439,12.8,1639.99458,,K5 V,4714,0.74,0.741,-0.03,4.26,7.1413494,-16.2273254,34.4603,9.62,0,
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,La Silla Observatory,1891,2.63,0.1,14,214,,K7 V,4051,0.747,0.679,0.12,4.67,33.3024198,-21.1962147,23.7324,9.84,0,0.02
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,La Silla Observatory,6240,5.9,0.43,12.9,1525.576354,,K7 V,4051,0.747,0.69,0.12,4.67,33.3024198,-21.1962147,23.7324,9.84,0,0.0039
BEBOP-3 b,BEBOP-3,2,1,Radial Velocity,2025,Haute-Provence Observatory,547,1.444,0.247,14.2,177.3482511,,,6033,1.414,1.083,-0.02,4.203,110.902655,79.1323952,119.052,9.259,0,
Barnard b,Barnard's star,1,4,Radial Velocity,2024,Paranal Observatory,3.1542,0.0229,0.03,0.72,0.299,438,M3.5-4 V,3195,0.185,0.162,-0.56,4.9,269.4486144,4.7379808,1.82655,9.54,0,6.76
Barnard c,Barnard's star,1,4,Radial Velocity,2025,Gemini Observatory,4.1244,0.0274,0.08,0.743,0.335,400,M3.5-4 V,3195,0.185,0.162,-0.56,4.9,269.4486144,4.7379808,1.82655,9.54,0,
Barnard d,Barnard's star,1,4,Radial Velocity,2025,Gemini Observatory,2.3402,0.0188,0.04,0.694,0.263,483,M3.5-4 V,3195,0.185,0.162,-0.56,4.9,269.4486144,4.7379808,1.82655,9.54,0,
Barnard e,Barnard's star,1,4,Radial Velocity,2025,Gemini Observatory,6.7392,0.0381,0.04,0.637,0.193,340,M3.5-4 V,3195,0.185,0.162,-0.56,4.9,269.4486144,4.7379808,1.82655,9.54,0,
CD Cet b,CD Cet,1,1,Radial Velocity,2020,Calar Alto Observatory,2.2907,0.0185,,1.82,3.95,464,M5.0 V,3130,0.175,0.161,0.13,4.93,48.3530155,4.7751881,8.60715,13.95,0,8.6
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,10037.5,2.6,,12.4,3337.1,370,,580.5,,0.021,,4.725,224.6208333,10.2286111,23.1,,0,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,8040000,200,,20.8487041,2479.061575,1800,M9-L1,2320,0.245,0.0147,,3.845,246.934277,-23.98115,,,0,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,,210,,12.3,3994.486,,M3.5,3099,,0.35,,,166.6193985,-77.6258725,190.374,,0,
CI Tau c,CI Tau,1,1,Radial Velocity,2024,Multiple Observatories,25.2,0.17,0.58,13,1144.182265,,K7,3807,1.880857,0.9,,,68.4667685,22.8416192,157.998,13.642,0,
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000,7506,,12.44196858,2542.627256,434,M3 V,3406,0.388,0.37,0,4.83,117.300914,-76.702696,10.8864,11.298,0,
CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,,440,,24.66,5403,2600,K5e,4403,1.679694,,-0.56,3.66,166.0375038,-76.4553693,190.72,12.335,0,
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,1.5089557,0.02752,0,16.7,327.35,1898,G0 V,5950,1.11,0.95,-0.3,4.25,102.0798591,-3.1021394,787.909,13.623,0,2852.63
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,13.2406,0.1055,0.53,10.87,874,600,K1 V,5075,0.79,0.89,0.26,4.65,291.0636813,0.7460143,338.386,15.293,0,16.1089
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,2.99433,0.0436,0,16.03,740.51,1657,F6 V,6440,1.37,1.27,-0.03,4.22,280.6872998,5.9376586,655.037,12.897,0,1890.649
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,2.828042,0.04016,0.07,16.14,291.438,1442,,5675,1.116,1.078,0.16,4.375,100.7656871,-1.2964437,1126.37,15.588,0,661.1334
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,4.03519,0.051,0,9.92,415.704,1700,G0 V,5945,1.01,1.09,0.01,4.46,102.7211432,-5.0864557,1148.93,15.005,0,546.5339
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,1.51214,0.027,0,12.22,2415.4,1952,F9 V,6035,1.21,1.13,0.05,4.35,103.4242023,-5.5360385,1744.6,15.932,0,
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,5.35227,0.0618,0.33,13.11,170.032,,G5 V,5650,1.19,1.098,0.19,4.36,278.5246658,-6.0026026,732.409,16.052,0,
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,3.7681,0.0461,0,11.43,772.29,1626,G2 V,5740,1.59,1.04,0,4.4,278.699236,-6.612288,1176.12,16.29,0,
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,1.9000693,0.0295,0.08,14.68,1102.82,1550,G9 V,5440,1,0.95,-0.1,4.4,98.1724172,-0.0316045,764.889,14.868,0,823.7009
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,3.89713,0.0518,0.047,14.46,352.78,2000,F9 V,6090,1.65,1.21,-0.02,4.07,97.0335983,-0.1707293,790.663,14.135,0,1103.809
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,1.7429935,0.02798,0.0143,16.432,1102.82,1521,,5625,0.906,0.96,0.04,4.53,291.7770457,1.3836634,213.283,12.516,0,932.9076
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,9.24285,0.09,0.59,9.41556,1366.669,1024,G2 V,5880,1.02,1.14,0.14,4.35,97.7204249,0.2268931,844.061,14.63,0,180.8704
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Multiple Observatories,1675,2.9,0.6,12.2,5403.11,,G2 V,5880,1.02,1.14,0.14,4.35,97.7204249,0.2268931,844.061,14.63,0,
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,CoRoT,2.72474,0.0417,0,14.5717,718.2958,,F8 IV,6200,1.95,1.29,0,3.7,101.0526207,-0.2991544,1398.834197,16.058,0,
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,9.75598,0.092,0.077,4.88,12.2,885,G3 V,5939,1.136,1.099,0.17,4.361,280.6671392,6.2191669,627.158,13.82,0,
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,3.6313,0.048,0.16,11.77,889.9,1660,G0 V,5900,1.61,1.14,0.05,4.3,279.7826586,4.3577516,1060.97,15.675,0,
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,5.1134,0.056,0,3.7,5.7,1070,K1 V,4950,0.86,0.91,0.3,4.55,101.922543,-3.7192892,591.555,15.383,0,
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,11.759,0.098,0,5,28,850,K1 V,4950,0.86,0.91,0.3,4.55,101.922543,-3.7192892,591.555,15.383,0,
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,4.86069,0.0578,0,12.11,85.81,1330,F9,6040,1.19,1.09,-0.01,4.31,280.6296561,6.5138223,1103.48,14.79,0,
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,4.20474,0.0526,0,14.12,165.26,1600,G5,5590,1.79,1.09,0.01,3.99,279.7504991,6.9697828,1045.18,15.861,0,
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,3.57532,0.0476,0.065,11.287,3302.11,1500,G2,5900,1.08,1.05,-0.1,4.4,278.4958319,5.5383811,1010.28,15.774,0,
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,5.20851,0.0603,0.047,10.704595,153.82972,,G8/9 IV,5150,1.78,1.01,0.15,3.6,278.6883216,5.5736911,766.183,13.783,0,
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,2.85057,0.0386,0.082,10.0881,270.1555,,K0 V,5260,0.9,0.97,0.2,4.3,278.9020691,6.4795703,806.507,15.408,0,
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,CoRoT,4.2568,0.05783,0,11.32,6883.91,1695,F3 V,6740,1.56,1.37,0.14,4.22,292.0552827,0.1218359,768.771,13.448,0,
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,CoRoT,9.06005,0.0844,0.007,11.309881,921.707,,G3 V,5650,0.91,0.98,0.02,4.4,277.6011767,6.8359338,1032.23,15.571,0,
