planet_name,star_name,num_of_stars,num_of_planets,discovery_method,disc_year,disc_facility,orbital_period_days,orb_semiMajorAxis,Orbit_Eccentricity,pl_radius,pl_Mass,equilibrium_temp_K,star_spectral_type,star_temp_K,star_radius,star_mass,star_mettalicity,star_surface_gravity,right_ascension_degree,declination_degree,distance_parsec,visual_magnitude,is_controversial,insolation_flux
Kepler-1210 b,Kepler-1210,1,1,Transit,2016,Kepler,8.07124073,0.0753,0,1.7,3.53,856,,5568,0.92,0.94,0.04,4.49,292.8321598,48.2193376,1176.53,15.649,0,152.047
Kepler-1211 b,Kepler-1211,1,1,Transit,2016,Kepler,11.01816836,0.09763,0,2.55,7.04,840,,5705,0.94,0.96,-0.08,4.48,285.7207618,40.8569116,1826.53,16.016,0,130.9
Kepler-1212 b,Kepler-1212,1,1,Transit,2016,Kepler,12.94130146,0.1082,0,2.14,5.22,795,,6051,1.15,1.1,0.03,4.36,296.8534096,50.0373196,1316.57,15.133,0,142.096
Kepler-1213 b,Kepler-1213,1,1,Transit,2016,Kepler,5.34982412,0.06026,0,1.19,1.81,1156,,6050,1.21,1.14,0.13,4.33,289.4858423,50.9441967,807.812,13.416,0,595.424
Kepler-1214 b,Kepler-1214,1,1,Transit,2016,Kepler,18.82634264,0.128,0,2.36,6.17,591,,5130,0.8,0.85,0.05,4.57,285.1427113,49.8006565,729.227,15.459,0,23.18
Kepler-1215 b,Kepler-1215,1,1,Transit,2016,Kepler,4.76703963,0.0528,0,1.22,1.98,1046,,5616,0.93,0.95,0.01,4.48,297.4636477,48.1813978,661.022,14.539,0,253.964
Kepler-1216 b,Kepler-1216,1,1,Transit,2016,Kepler,4.37034536,0.0519,0,1.39,2.51,1191,,5743,0.98,0.99,0.03,4.46,287.4052661,45.917979,1258.36,15.262,0,415.553
Kepler-1217 b,Kepler-1217,1,1,Transit,2016,Kepler,2.032325072,0.0326,0,1.99,4.62,1542,,5905,1.08,1.06,0.07,4.4,289.1866841,50.9375614,1347.71,15.343,0,1302.948
Kepler-1218 b,Kepler-1218,1,1,Transit,2016,Kepler,22.9221266,0.15698,0,1.44,2.67,684,,5986,1.1,1.06,-0.02,4.38,291.5788505,44.5316825,840.503,13.73,0,84.83
Kepler-1219 b,Kepler-1219,1,1,Transit,2016,Kepler,16.10467749,0.14146,0,2.12,5.14,1159,,5944,1.94,1.25,0.05,3.97,297.2158443,47.3785082,880.895,12.339,0,430.691
Kepler-122 b,Kepler-122,1,5,Transit,2014,Kepler,5.766193,0.064,0,2.34,6.08,1159,,6050,1.216,0.982,-0.08,4.299,291.1118647,39.9490248,1027.45,14.403,0,448.102
Kepler-122 c,Kepler-122,1,5,Transit,2014,Kepler,12.465988,0.108,0,5.87,29,897,,6050,1.216,0.982,-0.08,4.299,291.1118647,39.9490248,1027.45,14.403,0,160.499
Kepler-122 d,Kepler-122,1,5,Transit,2014,Kepler,21.587475,0.155,0,2.2,5.48,747,,6050,1.216,0.982,-0.08,4.299,291.1118647,39.9490248,1027.45,14.403,0,77.14
Kepler-122 e,Kepler-122,1,5,Transit,2014,Kepler,37.993273,0.227,0,2.6,27.7,618,,6050,1.216,0.982,-0.08,4.299,291.1118647,39.9490248,1027.45,14.403,0,36.299
Kepler-122 f,Kepler-122,1,5,Transit Timing Variations,2014,Kepler,56.268,0.28575,0,1.75,36,543,,5917,0.949,1.03,-0.08,4.35,291.1118647,39.9490248,1027.45,14.403,0,21.524
Kepler-1220 b,Kepler-1220,1,1,Transit,2016,Kepler,7.42693741,0.0734,0,1.52,2.92,899,,5842,0.99,1,-0.04,4.45,297.070398,42.9777396,961.907,15.194,0,177.842
Kepler-1221 b,Kepler-1221,1,1,Transit,2016,Kepler,12.00096042,0.0906,0,1.88,4.19,632,,5194,0.82,0.87,0.09,4.55,285.8223636,45.7118423,913.65,15.909,0,37.81
Kepler-1222 b,Kepler-1222,1,1,Transit,2016,Kepler,1.916944254,0.02801,0,0.79,0.418,1246,,5239,0.8,0.84,-0.04,4.56,294.889616,49.3798215,415.218,14.21,0,416.231
Kepler-1223 b,Kepler-1223,1,1,Transit,2016,Kepler,16.301259,0.1186,0,1.22,1.98,557,,4870,0.75,0.8,0.04,4.6,285.2956462,44.5527542,459.957,14.911,0,20.51
Kepler-1224 b,Kepler-1224,1,1,Transit,2016,Kepler,13.32351601,0.11625,0,1.33,2.33,872,,6155,1.22,1.18,0.14,4.34,286.6257591,37.537313,559.598,12.926,0,132.663
Kepler-1225 b,Kepler-1225,1,1,Transit,2016,Kepler,7.01075434,0.0771,0,1.82,3.97,1453,,6140,1.19,1.13,0.01,4.34,290.6332748,40.1369671,1347.52,14.819,0,324.282
Kepler-1226 b,Kepler-1226,1,1,Transit,2016,Kepler,17.2923453,0.13945,0,1.45,2.7,809,,5923,1.02,1.02,-0.08,4.43,296.3768521,50.6214592,1125.72,14.324,0,140.376
Kepler-1227 b,Kepler-1227,1,1,Transit,2016,Kepler,94.2887577,0.38555,0,2.29,5.86,369,,5747,0.95,0.97,-0.04,4.47,287.0664109,41.8749712,623.706,14.276,0,4.179
Kepler-1228 b,Kepler-1228,1,1,Transit,2016,Kepler,0.577369579,0.01186,0,1.54,2.99,1757,,5063,0.74,0.78,-0.18,4.59,296.552761,46.9661945,515.453,15.061,0,1598.664
Kepler-1229 b,Kepler-1229,1,1,Transit,2016,Kepler,86.828989,0.3006,0,1.4,2.54,212,,3784,0.51,0.54,-0.06,4.75,297.4868347,46.9966782,265.482,16.124,0,0.524
Kepler-123 b,Kepler-123,1,2,Transit,2014,Kepler,17.232366,0.135,0,2.94,55.3,817,,6089,1.264,1.079,-0.08,4.277,296.9985853,42.7819633,1021.66,14.129,0,138.807
Kepler-123 c,Kepler-123,1,2,Transit,2014,Kepler,26.695074,0.181,0,1.48,2.79,706,,6089,1.264,1.079,-0.08,4.277,296.9985853,42.7819633,1021.66,14.129,0,77.399
Kepler-1230 b,Kepler-1230,1,1,Transit,2016,Kepler,9.95661537,0.0921,0,2.71,7.8,946,,5961,1.08,1.06,0.01,4.4,283.2645129,41.7114526,1364.22,15.628,0,153.933
Kepler-1231 b,Kepler-1231,1,1,Transit,2016,Kepler,10.41725184,0.0914,0,1.42,2.6,870,,5778,1,1.01,0.06,4.44,288.5882888,42.6056644,987.237,14.808,0,117.515
Kepler-1232 b,Kepler-1232,1,1,Transit,2016,Kepler,26.7839183,0.16545,0,1.93,4.38,523,,5471,0.89,0.92,0.06,4.51,296.5500966,49.102307,632.865,14.97,0,14.6
Kepler-1233 b,Kepler-1233,1,1,Transit,2016,Kepler,45.1263042,0.263,0,2.6,7.27,604,,6198,1.25,1.16,0.02,4.3,297.3750954,46.6622201,1178.7,14.82,0,30.061
Kepler-1234 b,Kepler-1234,1,1,Transit,2016,Kepler,11.94014029,0.096,0,2.81,8.3,625,,4967,0.76,0.8,0.01,4.59,287.5220359,51.3759464,916.749,15.915,0,40.12
Kepler-1235 b,Kepler-1235,1,1,Transit,2016,Kepler,4.16055856,0.04836,0,0.79,0.418,985,,5541,0.9,0.93,0.01,4.5,284.9030677,43.9540616,540.604,14.079,0,265.325
Kepler-1236 b,Kepler-1236,1,1,Transit,2016,Kepler,31.0571618,0.1803,0,2.14,5.22,480,,5337,0.82,0.86,-0.09,4.55,295.6247375,42.5458739,999.64,16.145,0,13.571
Kepler-1237 b,Kepler-1237,1,1,Transit,2016,Kepler,84.5733226,0.3778,0,2.86,8.55,366,,5472,0.9,0.94,0.12,4.5,295.6292745,44.6905815,1064.31,16.012,0,4.042
